event_id,scenario,correct_match,expected_status,expected_reason
E0001,reference_typo,TXN0001,MATCH,Reference contains a minor formatting difference.
E0002,date_shift,TXN0002,MATCH,Settlement occurred within the allowed date window.
E0003,exact_match,TXN0003,MATCH,Records agree.
E0004,refund,TXN0004,MATCH,Settlement difference is explained by refund.
E0005,exact_match,TXN0005,MATCH,Records agree.
E0006,reference_typo,TXN0006,MATCH,Reference contains a minor formatting difference.
E0007,exact_match,TXN0007,MATCH,Records agree.
E0008,exact_match,TXN0008,MATCH,Records agree.
E0009,exact_match,TXN0009,MATCH,Records agree.
E0010,exact_match,TXN0010,MATCH,Records agree.
E0011,partial_payment,TXN0011,HUMAN_REVIEW,Payment covers only part of the invoice.
E0012,date_shift,TXN0012,MATCH,Settlement occurred within the allowed date window.
E0013,missing_bank,NONE,EXCEPTION,Corresponding bank record is missing.
E0014,exact_match,TXN0014,MATCH,Records agree.
E0015,exact_match,TXN0015,MATCH,Records agree.
E0016,refund,TXN0016,MATCH,Settlement difference is explained by refund.
E0017,fee_difference,TXN0017,MATCH,Settlement difference is explained by processing fee.
E0018,date_shift,TXN0018,MATCH,Settlement occurred within the allowed date window.
E0019,exact_match,TXN0019,MATCH,Records agree.
E0020,exact_match,TXN0020,MATCH,Records agree.
E0021,exact_match,TXN0021,MATCH,Records agree.
E0022,exact_match,TXN0022,MATCH,Records agree.
E0023,exact_match,TXN0023,MATCH,Records agree.
E0024,reference_typo,TXN0024,MATCH,Reference contains a minor formatting difference.
E0025,partial_payment,TXN0025,HUMAN_REVIEW,Payment covers only part of the invoice.
E0026,exact_match,TXN0026,MATCH,Records agree.
E0027,multiple_settlements,TXN0027,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0028,reference_typo,TXN0028,MATCH,Reference contains a minor formatting difference.
E0029,exact_match,TXN0029,MATCH,Records agree.
E0030,reference_typo,TXN0030,MATCH,Reference contains a minor formatting difference.
E0031,partial_payment,TXN0031,HUMAN_REVIEW,Payment covers only part of the invoice.
E0032,exact_match,TXN0032,MATCH,Records agree.
E0033,refund,TXN0033,MATCH,Settlement difference is explained by refund.
E0034,multiple_settlements,TXN0034,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0035,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0036,reference_typo,TXN0036,MATCH,Reference contains a minor formatting difference.
E0037,exact_match,TXN0037,MATCH,Records agree.
E0038,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0039,missing_bank,NONE,EXCEPTION,Corresponding bank record is missing.
E0040,multiple_settlements,TXN0040,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0041,exact_match,TXN0041,MATCH,Records agree.
E0042,exact_match,TXN0042,MATCH,Records agree.
E0043,exact_match,TXN0043,MATCH,Records agree.
E0044,exact_match,TXN0044,MATCH,Records agree.
E0045,exact_match,TXN0045,MATCH,Records agree.
E0046,reference_typo,TXN0046,MATCH,Reference contains a minor formatting difference.
E0047,date_shift,TXN0047,MATCH,Settlement occurred within the allowed date window.
E0048,multiple_settlements,TXN0048,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0049,exact_match,TXN0049,MATCH,Records agree.
E0050,exact_match,TXN0050,MATCH,Records agree.
E0051,exact_match,TXN0051,MATCH,Records agree.
E0052,partial_payment,TXN0052,HUMAN_REVIEW,Payment covers only part of the invoice.
E0053,partial_payment,TXN0053,HUMAN_REVIEW,Payment covers only part of the invoice.
E0054,exact_match,TXN0054,MATCH,Records agree.
E0055,exact_match,TXN0055,MATCH,Records agree.
E0056,exact_match,TXN0056,MATCH,Records agree.
E0057,exact_match,TXN0057,MATCH,Records agree.
E0058,reference_typo,TXN0058,MATCH,Reference contains a minor formatting difference.
E0059,exact_match,TXN0059,MATCH,Records agree.
E0060,exact_match,TXN0060,MATCH,Records agree.
E0061,refund,TXN0061,MATCH,Settlement difference is explained by refund.
E0062,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0063,refund,TXN0063,MATCH,Settlement difference is explained by refund.
E0064,fee_difference,TXN0064,MATCH,Settlement difference is explained by processing fee.
E0065,exact_match,TXN0065,MATCH,Records agree.
E0066,fee_difference,TXN0066,MATCH,Settlement difference is explained by processing fee.
E0067,refund,TXN0067,MATCH,Settlement difference is explained by refund.
E0068,exact_match,TXN0068,MATCH,Records agree.
E0069,multiple_settlements,TXN0069,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0070,date_shift,TXN0070,MATCH,Settlement occurred within the allowed date window.
E0071,date_shift,TXN0071,MATCH,Settlement occurred within the allowed date window.
E0072,exact_match,TXN0072,MATCH,Records agree.
E0073,exact_match,TXN0073,MATCH,Records agree.
E0074,date_shift,TXN0074,MATCH,Settlement occurred within the allowed date window.
E0075,multiple_settlements,TXN0075,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0076,exact_match,TXN0076,MATCH,Records agree.
E0077,exact_match,TXN0077,MATCH,Records agree.
E0078,exact_match,TXN0078,MATCH,Records agree.
E0079,exact_match,TXN0079,MATCH,Records agree.
E0080,exact_match,TXN0080,MATCH,Records agree.
E0081,multiple_settlements,TXN0081,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0082,reference_typo,TXN0082,MATCH,Reference contains a minor formatting difference.
E0083,multiple_settlements,TXN0083,HUMAN_REVIEW,One payment is represented by multiple settlement records.
E0084,reference_typo,TXN0084,MATCH,Reference contains a minor formatting difference.
E0085,exact_match,TXN0085,MATCH,Records agree.
E0086,partial_payment,TXN0086,HUMAN_REVIEW,Payment covers only part of the invoice.
E0087,exact_match,TXN0087,MATCH,Records agree.
E0088,exact_match,TXN0088,MATCH,Records agree.
E0089,date_shift,TXN0089,MATCH,Settlement occurred within the allowed date window.
E0090,amount_mismatch,NONE,EXCEPTION,Amount difference cannot be explained by known adjustments.
E0091,exact_match,TXN0091,MATCH,Records agree.
E0092,exact_match,TXN0092,MATCH,Records agree.
E0093,exact_match,TXN0093,MATCH,Records agree.
E0094,fee_difference,TXN0094,MATCH,Settlement difference is explained by processing fee.
E0095,exact_match,TXN0095,MATCH,Records agree.
