transaction_id,ai_status,ai_decision,confidence_score,reason,safety_override,final_decision,processing_time_seconds,raw_ai_response,ai_provider,error
TXN0013,SUCCESS,EXCEPTION,100.0,Missing bank record; the transaction cannot be fully reconciled.,False,EXCEPTION,25.94,"{""results"":[{""transaction_id"":""TXN0013"",""decision"":""EXCEPTION"",""confidence_score"":95.0,""reason"":""Bank record is missing (bank_record_exists is false), preventing complete reconciliation.""},{""transaction_id"":""TXN0035"",""decision"":""EXCEPTION"",""confidence_score"":100.0,""reason"":""Ledger amount of 75000 does not match settlement amount of 74500, and the 500 difference is not explained by fees or refunds.""},{""transaction_id"":""TXN0038"",""decision"":""EXCEPTION"",""confidence_score"":100.0,""reason"":""Ledger amount of 5000 does not match settlement amount of 3000, and the 2000 difference is not explained by fees or refunds.""}]}",GEMINI,
TXN0035,SUCCESS,EXCEPTION,100.0,"Ledger amount of 75000 does not match settlement amount of 74500, and the 500 difference is not explained by fees or refunds.",False,EXCEPTION,25.94,"{""results"":[{""transaction_id"":""TXN0013"",""decision"":""EXCEPTION"",""confidence_score"":95.0,""reason"":""Bank record is missing (bank_record_exists is false), preventing complete reconciliation.""},{""transaction_id"":""TXN0035"",""decision"":""EXCEPTION"",""confidence_score"":100.0,""reason"":""Ledger amount of 75000 does not match settlement amount of 74500, and the 500 difference is not explained by fees or refunds.""},{""transaction_id"":""TXN0038"",""decision"":""EXCEPTION"",""confidence_score"":100.0,""reason"":""Ledger amount of 5000 does not match settlement amount of 3000, and the 2000 difference is not explained by fees or refunds.""}]}",GEMINI,
TXN0038,SUCCESS,EXCEPTION,100.0,"Ledger amount of 5000 does not match settlement amount of 3000, and the 2000 difference is not explained by fees or refunds.",False,EXCEPTION,25.94,"{""results"":[{""transaction_id"":""TXN0013"",""decision"":""EXCEPTION"",""confidence_score"":95.0,""reason"":""Bank record is missing (bank_record_exists is false), preventing complete reconciliation.""},{""transaction_id"":""TXN0035"",""decision"":""EXCEPTION"",""confidence_score"":100.0,""reason"":""Ledger amount of 75000 does not match settlement amount of 74500, and the 500 difference is not explained by fees or refunds.""},{""transaction_id"":""TXN0038"",""decision"":""EXCEPTION"",""confidence_score"":100.0,""reason"":""Ledger amount of 5000 does not match settlement amount of 3000, and the 2000 difference is not explained by fees or refunds.""}]}",GEMINI,
TXN0039,SUCCESS,EXCEPTION,100.0,Missing bank record; the transaction cannot be fully reconciled.,False,EXCEPTION,10.054,"{""results"":[{""transaction_id"":""TXN0039"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Bank record is missing (bank_record_exists is false) while a settlement record exists.""},{""transaction_id"":""TXN0062"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Ledger amount of 1500 is not reconciled by settlement amount of 0.0, and the difference is unexplained by fees or refunds.""},{""transaction_id"":""TXN0090"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Ledger amount of 10000 does not match settlement amount of 9500.0, and the 500.0 difference is not explained by fees or refunds.""}]}",GEMINI,
TXN0062,SUCCESS,EXCEPTION,100.0,"Ledger amount of 1500 is not reconciled by settlement amount of 0.0, and the difference is unexplained by fees or refunds.",False,EXCEPTION,10.054,"{""results"":[{""transaction_id"":""TXN0039"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Bank record is missing (bank_record_exists is false) while a settlement record exists.""},{""transaction_id"":""TXN0062"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Ledger amount of 1500 is not reconciled by settlement amount of 0.0, and the difference is unexplained by fees or refunds.""},{""transaction_id"":""TXN0090"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Ledger amount of 10000 does not match settlement amount of 9500.0, and the 500.0 difference is not explained by fees or refunds.""}]}",GEMINI,
TXN0090,SUCCESS,EXCEPTION,100.0,"Ledger amount of 10000 does not match settlement amount of 9500.0, and the 500.0 difference is not explained by fees or refunds.",False,EXCEPTION,10.054,"{""results"":[{""transaction_id"":""TXN0039"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Bank record is missing (bank_record_exists is false) while a settlement record exists.""},{""transaction_id"":""TXN0062"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Ledger amount of 1500 is not reconciled by settlement amount of 0.0, and the difference is unexplained by fees or refunds.""},{""transaction_id"":""TXN0090"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Ledger amount of 10000 does not match settlement amount of 9500.0, and the 500.0 difference is not explained by fees or refunds.""}]}",GEMINI,
TXN0106,SUCCESS,EXCEPTION,100.0,Missing bank record; the transaction cannot be fully reconciled.,False,EXCEPTION,23.17,"{""results"":[{""transaction_id"":""TXN0106"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Bank record is missing.""},{""transaction_id"":""TXN0121"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Settlement amount of 74500.0 does not match ledger amount of 75000.0 and the discrepancy is not explained by fees or refunds.""},{""transaction_id"":""TXN0122"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Settlement amount of 0.0 does not match ledger amount of 1000.0 and the discrepancy is not explained by fees or refunds.""}]}",GEMINI,
TXN0121,SUCCESS,EXCEPTION,100.0,Settlement amount of 74500.0 does not match ledger amount of 75000.0 and the discrepancy is not explained by fees or refunds.,False,EXCEPTION,23.17,"{""results"":[{""transaction_id"":""TXN0106"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Bank record is missing.""},{""transaction_id"":""TXN0121"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Settlement amount of 74500.0 does not match ledger amount of 75000.0 and the discrepancy is not explained by fees or refunds.""},{""transaction_id"":""TXN0122"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Settlement amount of 0.0 does not match ledger amount of 1000.0 and the discrepancy is not explained by fees or refunds.""}]}",GEMINI,
TXN0122,SUCCESS,EXCEPTION,100.0,Settlement amount of 0.0 does not match ledger amount of 1000.0 and the discrepancy is not explained by fees or refunds.,False,EXCEPTION,23.17,"{""results"":[{""transaction_id"":""TXN0106"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Bank record is missing.""},{""transaction_id"":""TXN0121"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Settlement amount of 74500.0 does not match ledger amount of 75000.0 and the discrepancy is not explained by fees or refunds.""},{""transaction_id"":""TXN0122"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Settlement amount of 0.0 does not match ledger amount of 1000.0 and the discrepancy is not explained by fees or refunds.""}]}",GEMINI,
TXN0126,SUCCESS,EXCEPTION,100.0,"Settlement amount of 23000.0 does not reconcile with ledger amount of 25000.0, and the difference of 2000.0 is not explained by fees or refunds.",False,EXCEPTION,15.709,"{""results"":[{""transaction_id"":""TXN0126"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Settlement amount of 23000.0 does not reconcile with ledger amount of 25000.0, and the difference of 2000.0 is not explained by fees or refunds.""},{""transaction_id"":""TXN0132"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Bank record is missing (bank_record_exists is false), so bank evidence does not support the settlement.""},{""transaction_id"":""TXN0138"",""decision"":""EXCEPTION"",""confidence_score"":100,""reason"":""Bank record is missing (bank_record_exists is false), so bank evidence does not support the settlement.""}]}",GEMINI,
