transaction_id,scenario,expected_status,rule_decision,final_decision,ai_status,ai_provider,system_decision,correct
TXN0001,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0002,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0003,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0004,refund,MATCH,MATCH,,,,MATCH,True
TXN0005,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0006,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0007,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0008,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0009,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0010,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0011,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0012,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0013,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0014,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0015,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0016,refund,MATCH,MATCH,,,,MATCH,True
TXN0017,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0018,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0019,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0020,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0021,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0022,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0023,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0024,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0025,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0026,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0027,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0028,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0029,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0030,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0031,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0032,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0033,refund,MATCH,MATCH,,,,MATCH,True
TXN0034,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0035,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0036,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0037,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0038,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0039,missing_bank,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0040,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0041,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0042,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0043,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0044,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0045,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0046,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0047,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0048,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0049,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0050,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0051,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0052,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0053,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0054,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0055,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0056,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0057,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0058,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0059,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0060,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0061,refund,MATCH,MATCH,,,,MATCH,True
TXN0062,amount_mismatch,EXCEPTION,EXCEPTION,EXCEPTION,SUCCESS,GEMINI,EXCEPTION,True
TXN0063,refund,MATCH,MATCH,,,,MATCH,True
TXN0064,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0065,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0066,fee_difference,MATCH,MATCH,,,,MATCH,True
TXN0067,refund,MATCH,MATCH,,,,MATCH,True
TXN0068,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0069,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0070,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0071,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0072,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0073,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0074,date_shift,MATCH,MATCH,,,,MATCH,True
TXN0075,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0076,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0077,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0078,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0079,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0080,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0081,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0082,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0083,multiple_settlements,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0084,reference_typo,MATCH,MATCH,,,,MATCH,True
TXN0085,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0086,partial_payment,HUMAN_REVIEW,HUMAN_REVIEW,,,,HUMAN_REVIEW,True
TXN0087,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0088,exact_match,MATCH,MATCH,,,,MATCH,True
TXN0089,date_shift,MATCH,MATCH,,,,MATCH,True
